央视,#genre#
中天綜合HD,http://t.061899.xyz/tl/js/tw.php?id=hdztzh
緯來精采HD,http://t.061899.xyz/tl/js/tw.php?id=hdwljc
居家樂活HD,http://t.061899.xyz/tl/js/tw.php?id=hdjjlh
中天娛樂HD,http://t.061899.xyz/tl/js/tw.php?id=hdztyl
東森戲劇HD,http://t.061899.xyz/tl/js/tw.php?id=hddsxj
八大戲劇HD,http://t.061899.xyz/tl/js/tw.php?id=hdbdxj
歷史頻道HD,http://t.061899.xyz/tl/js/tw.php?id=hdlspd
三立戲劇HD,http://t.061899.xyz/tl/js/tw.php?id=hdslxj
龍翔電影HD,http://t.061899.xyz/tl/js/tw.php?id=hdlxdy
龍華洋片HD,http://t.061899.xyz/tl/js/tw.php?id=hdlhyp
TLC旅遊頻道HD,http://t.061899.xyz/tl/js/tw.php?id=tlchdlypd
東森新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hddsxw
民視新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hdmsxw
三立新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hdslxw
東森財經HD,http://t.061899.xyz/tl/js/tw.php?id=hddscj
非凡新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hdffxw
壹新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hdyxw
三立財經HD,http://t.061899.xyz/tl/js/tw.php?id=hdslcj
JET綜合台,http://t.061899.xyz/tl/js/tw.php?id=jetzht
華納電影HD,http://t.061899.xyz/tl/js/tw.php?id=hdhndy
AXN洋片HD,http://t.061899.xyz/tl/js/tw.php?id=axnhdyp
cinemaworldHD,http://t.061899.xyz/tl/js/tw.php?id=cinemaworldhd
中視經典,http://t.061899.xyz/tl/js/tw.php?id=zsjd
中視菁采,http://t.061899.xyz/tl/js/tw.php?id=zsjc
美亞電影-粵語,http://t.061899.xyz/tl/js/tw.php?id=mydyyy
美亞電影HD,http://t.061899.xyz/tl/js/tw.php?id=hdmydy
無綫新聞台,http://tl.061833.xyz/tl/null-11
中國電影頻道,http://tl.061833.xyz/tl/null-6
亞洲劇台,http://tl.061833.xyz/tl/null-13
千禧經典台,http://tl.061833.xyz/tl/null-3
天映经典,http://tl.061833.xyz/tl/null-1
戲曲台,http://tl.061833.xyz/tl/null-15
明珠台,http://tl.061833.xyz/tl/null-12
星河频道,http://tl.061833.xyz/tl/null-7
功夫台,http://tl.061833.xyz/tl/null-17
粵語片台,http://tl.061833.xyz/tl/null-10
美亞電影台,http://tl.061833.xyz/tl/null-5
翡翠台,http://tl.061833.xyz/tl/null
華語劇台,http://tl.061833.xyz/tl/null-4
黄金翡翠台,http://tl.061833.xyz/tl/null-2
黄金华剧台,http://tl.061833.xyz/tl/null-9
TVBPlus,http://tl.061833.xyz/tl/pluse
